행정구역(시군구)별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울특별시,10103233,10022181,9930616,9857426,9765623,9729107,9668465,9509458,9428372,9386034
부산광역시,3519401,3513777,3498529,3470653,3441453,3413841,3391946,3350380,3317812,3293362
대구광역시,2493264,2487829,2484557,2475231,2461769,2438031,2418346,2385412,2363691,2374960
인천광역시,2902608,2925815,2943069,2948542,2954642,2957026,2942828,2948375,2967314,2997410
광주광역시,1475884,1472199,1469214,1463770,1459336,1456468,1450062,1441611,1431050,1419237
대전광역시,1531809,1518775,1514370,1502227,1489936,1474870,1463882,1452251,1446072,1442216
울산광역시,1166377,1173534,1172304,1165132,1155623,1148019,1136017,1121592,1110663,1103661
세종특별자치시,156125,210884,243048,280100,314126,340575,355831,371895,383591,386525
경기도,12357830,12522606,12716780,12873895,13077153,13239666,13427014,13565450,13589432,13630821
강원특별자치도,1544442,1549507,1550806,1550142,1543052,1541502,1542840,1538492,1536498,1527807
충청북도,1578933,1583952,1591625,1594432,1599252,1600007,1600837,1597427,1595058,1593469
충청남도,2062273,2077649,2096727,2116770,2126282,2123709,2121029,2119257,2123037,2130119
전북특별자치도,1871560,1869711,1864791,1854607,1836832,1818917,1804104,1786855,1769607,1754757
전라남도,1905780,1908996,1903914,1896424,1882970,1868745,1851549,1832803,1817697,1804217
경상북도,2700794,2702826,2700398,2691706,2676831,2665836,2639422,2626609,2600492,2554324
경상남도,3350257,3364702,3373871,3380404,3373988,3362553,3340216,3314183,3280493,3251158
제주특별자치도,607346,624395,641597,657083,667191,670989,674635,676759,678159,675252
